Year,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People’s Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
1980,13.43021551,37.06597437,79.79401532,0.017613748,,32.10696317,8.037442707,9.245960412,7.893245918,8.358016421,16.15402196,20.47248303,41.61199064,24.87765921,94.44712734,4.696978179,12.80310809,3.797437556,36.75677479,13.45417536,13.54150658,16.4721641,34.36762096,9.942176718,45.9232907,2.70243741,8.132540919,1.816075455,86.62514069,10.74335273,20.99088723,39.5043867,3.023143709,8.623173734,7.075710993,32.62498233,4.411383203,0.62909696,8.094454229,,26.41314012,26.8580603,10.51291347,16.75726987,3.244682026,25.91385283,4.115016353,13.35345555,26.36472635,8.829265446,,4.166386525,47.10400628,3.118180208,10.41514805,4.313630143,12.13951916,20.30415006,33.75137354,15.30505004,56.30150193,14.44644857,24.94886408,7.851962559,7.176382245,0,4.651097427,14.86565671,36.05169979,1.85552746,87.64064634,12.50889126,18.85075933,38.57297479,19.47591665,5.058475663,11.51064689,0,10.31010629,0.120916087,14.7113644,10.43456475,4.764649992,4.365651349,29.81654906,8.651172897,3.668898821,30.51743505,1.470509164,11.74871259,17.46656423,48.16736473,79.27346847,6.445391892,,8.428997188,15.50582588,9.68968274,14.11523854,8.716802867,57.09966962,25.26355065,8.674075184,54.42639397,28.3640817,,95.22016269,11.39892228,6.177100058,16.20989647,13.84983206,20.30758366,45.38917202,91.06086228,,8.897491856,10.86538915,1.491932347,2.539189724,23.10746241,20.12055528,5.645669901,2.771617722,1.247485455,0,6.407536055,5.136671246,34.3542193,3.49458647,6.20710369,,10.42488159,,11.60649475,16.13064941,3.519678992,1.399908907,0,6.234851064,22.73632893,2.837450536,2.568088255,5.451064021,12.77794196,57.40642212,15.34994172,2.181639007,31.99828063,94.9821199,13.26597859,0,4.942406812,20.5953141,3.834426782,18.55159606,7.967158675,72.36123404,4.111468824,0,96.37954237,53.03515042,64.65035741,26.38487605,7.658831951,,34.36925815,96.20632417,19.86724601,,3.909529419,23.1246811,40.98748656,,18.61481228,20.33046676,0.510975581,8.537593907,37.87581835,,16.81536171,5.132494338,13.80726504,6.775161321,,6.400794391,10.38084235,3.818413999,6.996971777,11.57274786,26.1397191,8.696836514,9.09657395,10.9850057,1.355931656,25.02249914,1.348789108,80.37129902,29.89885722,12.0613874,83.19679163,5.732171263,0,26.5491895,40.65162581,98.38965668,35.91936037,39.48736427,0.621052978,39.55584864,2.28158915,41.99083862,9.656450929,0,,7.077190125,5.27696176,11.70178083
1981,13.0550303,35.63293484,77.06362504,0.029806436,,35.34438004,7.456490081,9.440830425,6.205151486,8.843197886,20.40160027,21.1059583,42.80195192,25.98958042,94.5836645,4.720663602,12.43183738,3.773036332,36.31790709,13.70197876,16.40587451,16.31753751,34.17928791,11.73821444,48.3587604,4.278703127,8.086503429,2.831789587,87.08480596,11.15544626,21.54203654,42.76568964,2.0737627,8.927018161,8.786654674,31.49669244,5.416357206,0.875026251,9.14321413,,21.75234,27.27296524,11.02360132,17.21808169,4.184628469,29.53634084,3.901341182,16.61619315,25.48848444,9.224288595,,3.626205818,45.9625985,3.669900508,10.73879951,4.413582314,12.95251959,19.81780195,34.45983025,16.1196223,57.14848928,14.64860079,24.74288998,7.864373413,7.619481403,0,4.728177966,14.93988181,34.14738296,2.226896657,88.76834337,12.54414172,17.99622596,38.20088987,22.09022271,4.863599832,12.68260814,0,10.63206927,0.11332555,14.83696657,12.27830596,4.450456663,5.062633608,23.94078576,8.963476742,4.068867135,30.11507694,1.51935302,12.14034535,18.72011967,44.2996823,63.2908639,8.128800444,,8.61210149,15.7096404,9.70506881,14.61703292,8.146158968,54.56907805,26.05759472,8.810581,55.94837763,29.8112658,,93.26918342,11.0186069,6.593629424,16.14784618,13.55012116,20.67595846,43.46728827,88.84146911,,8.934410854,10.86626434,1.359464867,3.124381271,25.35964593,20.35887643,5.586881472,2.933598708,1.242637334,0,6.172330997,5.032819224,36.29485676,2.89477835,5.954656885,,8.8387372,,11.51892825,18.83912685,3.716075422,1.774873891,0,6.184574899,21.76765918,2.634172935,2.092091924,5.519720918,13.06433885,50.41666522,15.91548452,2.11874329,31.36579553,95.21055008,13.75809084,0,4.692735999,33.19912886,3.965490545,17.40252284,8.025423238,70.06943938,4.100615739,0,95.34273614,52.91826144,65.09085933,27.03572299,7.430393461,,36.96147486,95.29635159,20.54896143,,2.60419626,24.58463294,43.37923638,,18.5801414,22.15520872,0.505509041,8.451922225,40.22725972,,17.89030792,5.082535169,13.74829581,6.515644367,,7.064749429,11.35548484,3.71302897,7.289705297,12.36090664,26.82742404,8.405492276,9.910037219,10.99889493,1.327030015,29.11417755,1.365183375,81.17124961,30.72040715,12.04970353,84.05889402,5.529336022,0,28.73588294,40.96560226,97.79414423,35.70174536,38.24390143,0.628379437,40.87828813,2.294893427,41.65024202,10.20899715,0,,6.950100831,6.59897497,11.37172115
1982,13.01840321,35.95413611,75.26058676,0.035981248,,32.0967885,10.07239589,10.04519935,5.211178678,9.061554053,19.35936555,21.71394694,44.01773001,23.93691785,94.07337053,4.918602473,12.84738092,3.693719234,36.52078651,12.86824179,14.40214769,17.9780091,33.6957807,11.46555268,52.63491971,4.186633643,7.871409338,2.850692763,87.4529999,11.27068789,20.43554641,43.59784217,1.300529562,7.800160864,8.397357312,35.9707287,5.639120242,0.709387115,8.410924109,,20.41130693,28.32697672,11.18758099,17.61934714,3.580075198,27.39286928,3.899279477,14.450366,26.19221749,9.464617404,,3.50890208,46.20882922,3.940648966,10.96415577,4.334649864,12.9845285,19.59141384,34.20840738,17.39281084,58.30055266,14.66661325,24.74950575,8.126873816,7.480370203,0,4.563178859,14.39239522,31.7516642,2.599808318,87.27409229,12.08267078,17.95865483,37.5657437,21.51754598,4.985230587,13.62428887,0,10.87197767,0.106597922,14.53728298,11.16711526,3.589967169,4.766702854,23.77519856,8.182038448,4.449646339,25.33505196,1.586083566,12.29039131,6.310290407,56.91239842,63.82554141,8.689856734,,7.402224548,15.92171329,7.375455555,14.51566063,8.631075958,54.01616738,24.89454254,8.579594257,57.51443059,29.69295987,,91.33223858,10.97618741,6.582817832,16.07857269,11.83208784,20.26172377,43.58127906,87.73282037,,9.04678031,11.08395226,1.388448233,3.523638263,23.87487458,22.71386893,5.448465427,2.762114617,1.219945164,0,6.25307314,5.093263234,38.35629886,2.850977802,5.804188766,,9.505879558,,13.65948619,16.96778332,3.872757533,1.948413031,0,6.323647467,19.64617389,2.06477052,2.364100854,5.26904058,13.18305807,46.2810383,16.68527143,2.040470989,31.24537848,94.1297761,14.06952142,0,4.80560216,8.222122994,3.854508101,16.62684191,8.449059161,72.53550639,4.112161313,0,95.42297249,52.75201484,65.79121426,26.94598074,7.139146624,,35.03751302,93.48206667,19.57778801,,2.083512455,23.39303649,43.25924069,,18.60449571,23.0244326,0.485265253,8.496639672,41.05044232,,18.60106595,5.542442584,14.20348819,6.943422626,,7.178926308,10.36524366,3.699076768,6.934683548,13.32700216,25.54339127,8.352911718,9.198140867,11.17809586,1.310671127,25.71596379,1.465883237,82.40122696,31.10031108,12.58832522,84.80338827,5.551723,0,27.06634669,41.44937267,97.34125507,34.79841364,38.19019691,0.627120312,42.05194116,2.249453636,40.69588135,10.48272536,0,,7.053532676,5.673549994,10.73823623
1983,13.9460019,35.93290638,76.68390771,0.033026831,,32.97817181,7.027962306,10.42795117,5.055913361,8.782813019,22.41679358,21.3107993,45.18037122,21.08711446,93.83386647,5.314688715,13.96505227,3.606755222,34.94836552,15.94842808,15.39018636,20.65900872,33.0879742,10.92955332,56.30387374,4.352700529,8.426056918,3.065545224,74.61160814,10.99118122,20.83081463,44.11150223,1.283401816,6.943361267,28.25408326,36.67715049,5.171447117,0.82280797,8.723669229,,20.19695307,29.21945793,11.77969279,18.14511818,3.765508066,28.12274548,3.794744865,15.95632053,26.15185402,9.442082014,,3.513016452,45.46319842,3.916291997,10.62570754,4.263659777,12.56952439,21.20800317,35.22295256,18.18930653,59.50013874,14.43439316,23.85191708,8.052231608,7.638337962,0,3.354066956,15.53534708,31.43739173,3.130301976,86.07377982,13.86333135,18.10876077,35.46146257,23.91400574,4.554880821,14.17839859,0,11.01104318,0.098772638,14.66485819,12.20980033,3.92111312,5.442674403,23.83604031,7.870147244,4.715297954,24.62228812,1.57701581,12.336333,12.65902214,55.49482805,63.06061803,9.298147931,,6.896168961,16.25816552,7.248235277,13.86226626,9.039614004,53.07913884,23.53289342,8.312808732,55.16544221,28.59999106,,92.12825791,10.67563277,4.653647417,15.9165415,12.44571513,21.59436684,41.08320836,86.17704346,,8.999185281,10.45734847,1.847001173,4.031883319,23.99561959,21.26717718,5.389334257,3.214265472,1.234027252,0,7.004975148,4.859459181,36.49938408,2.807214988,6.074743438,,7.641408262,,13.33878968,17.03904846,2.404565734,2.101077728,0,6.36037166,19.91341782,1.537253505,2.512711028,6.020118718,13.44778553,45.97362353,17.42409163,1.822954786,33.40017372,94.3544573,14.56727377,0,4.70742808,20.00201187,3.848233302,16.55368198,8.647742595,75.77231045,4.143976276,0,94.08125536,60.55595122,66.18498037,27.14379149,7.006150259,,35.82962454,91.19530334,20.68298856,,3.399363724,25.34463696,40.77910742,,18.44959332,24.6289758,0.520279164,9.243118501,41.68615881,,19.17609363,5.463758809,12.1873363,6.824161563,,7.197986675,11.1226635,3.567314815,6.966952967,14.05329435,24.49946504,8.229660549,9.426816803,9.072375517,1.296448674,28.35660473,1.628396571,81.58031618,31.71802759,13.31291757,85.47806412,5.666446058,0,27.73770217,41.13967571,96.97638155,33.95794986,37.1660653,0.683792285,43.07412653,2.180322827,40.14451822,10.46775508,0,,7.080965417,5.932854304,10.52359945
1984,15.80817313,36.8596093,78.25947509,0.026893267,,40.89712031,7.076525078,11.295247,4.955680736,9.240585708,22.88714984,21.67971426,46.52040278,18.8795522,93.92057572,5.339249745,14.24330256,3.522215142,34.86742614,15.61156325,15.55404167,18.76979102,32.62819174,13.98407165,56.66189616,5.40147985,10.27163192,2.618955139,86.43156288,10.76923961,20.93848081,44.32319595,1.480348357,9.629383988,28.62545311,42.38102142,7.274312659,0.888720262,9.858760214,,20.87108135,31.04619718,12.75516089,18.18032374,6.086292644,34.53323547,4.479305183,16.25752675,25.35294705,9.879087633,,3.647737886,45.08639873,4.71408435,10.85517587,3.939191745,12.77798192,20.67203243,36.56915238,18.30093331,60.25845908,15.25718292,23.49849871,8.413614927,7.972942445,0,4.320025839,5.889182097,31.09144177,3.110716221,90.30978591,14.75140303,17.78615299,34.18939959,24.26812405,4.332823462,15.0847063,0,11.08514068,0.094850026,14.9059028,12.60486434,4.214948439,5.815685806,23.44036788,7.526650578,4.899592104,24.86015835,1.580279096,12.68104975,19.24644614,45.5123447,66.99147531,9.007523721,,6.349794842,16.01525069,14.16771464,13.81670419,8.879476633,53.79344849,23.45679398,7.550235372,59.11093819,29.72445078,,92.31912746,10.27066006,6.804814256,15.73403311,12.65860394,22.16018002,41.88013967,85.57790292,,8.973883664,10.11187299,0.988521368,4.774719566,26.61515323,34.69278792,5.392492655,3.660508506,1.175458439,0,7.675103883,4.406880997,34.31046688,2.762260218,6.359648063,,10.16070714,,14.0566935,21.88618709,4.091623284,2.308339703,0,6.232791933,20.48171105,1.137525923,2.631602793,6.000528176,19.71360936,47.38593768,17.8633032,1.691856814,34.50825602,92.63818717,14.60126223,0,4.688359298,35.81059733,4.289044878,16.48865765,8.788656441,75.39890029,4.299797583,0,95.62956914,50.88499415,66.23426309,28.68564455,6.839561937,,36.4584915,85.88074043,20.5731472,,3.1967449,26.75021655,40.30686155,,18.69085109,25.36908915,0.520245362,9.322022604,44.57921221,,18.591586,5.015073953,12.54876497,6.40376154,,7.584608345,11.08764688,3.828185668,7.191103649,14.59028477,24.81648469,8.10135309,11.44041837,10.06892652,1.306787255,28.49420959,1.732796075,81.70065197,31.57032207,13.87206311,85.88612686,5.296992202,0,27.89383096,40.68419414,97.17331995,23.31871837,38.53144288,0.717513944,44.26926487,2.115547844,41.90180526,9.966770143,0,,7.133044247,9.175420819,11.23097145
1985,15.98521884,37.61881064,80.84812354,0.021588334,,40.56712741,3.416023825,11.45278339,4.745395773,9.911775309,18.93146843,21.81226258,47.8464022,10.86413352,93.54778088,5.490347749,12.53639121,3.467668935,35.18576548,14.981501,17.38657302,9.807565252,32.15387722,13.02112552,57.79983829,5.928316394,10.15448123,1.573558574,89.8530522,10.36961784,19.71873313,45.69735348,1.229488932,8.340165355,27.48586103,44.0296641,3.903294542,1.08558326,10.26304959,,21.70861466,32.24672693,13.00461037,18.87975707,6.031219624,33.75500059,4.899354671,18.1383684,28.05138061,9.214387324,,3.414196361,44.56236713,5.634432386,11.17076999,3.303312082,12.41363635,21.58164351,38.13792478,17.80839859,60.91589039,15.33823494,23.33867627,8.36314309,8.056586975,0,3.520387615,6.017171573,30.65484796,3.302348381,90.85172358,15.05416431,17.77696306,34.8496405,25.83083273,5.211858611,16.01349576,0,10.4045961,0.090393432,14.97772286,14.80308944,5.056978209,5.895406977,23.67602485,7.683222596,5.085618669,25.33241966,1.526595331,12.72306505,18.63793011,42.83781658,71.40246439,9.04124862,,6.130264788,16.35075564,14.50587832,13.59450739,8.294653377,49.89032995,24.22949935,7.454354846,60.54370032,30.45790361,,91.75859053,10.25736047,7.47572149,15.56862421,12.88737124,21.78473041,42.94282851,85.00639994,,8.960952862,10.48636665,1.21511572,5.296676091,26.0595,35.92192982,5.744399911,4.114000359,0.591674611,0,7.530234342,4.526015461,32.67851452,2.652494873,6.617166359,,6.226469403,,13.1920642,21.4653549,4.997690625,2.393260776,0,6.249357604,21.29317734,1.303758634,2.7114809,6.042145697,22.59264383,48.1112919,17.9830791,1.545940415,35.20946753,89.17783784,15.36406645,0,4.638955533,35.06704035,4.178396392,14.85460855,8.619690982,75.55678772,4.361215571,0,94.70586783,49.91117183,66.28376351,28.53380383,6.422824867,,35.90705944,82.91738335,20.100128,,3.428047046,27.90705709,38.13295658,,18.53645344,26.36584623,0.52145007,9.064040553,46.51424667,,19.17421457,5.0227234,10.64850619,5.447908701,,7.760814891,11.88368826,3.133193211,7.971487224,15.35102317,25.56670641,8.1872711,11.42169625,11.25400853,1.281767706,30.60636844,1.300770838,81.72548505,32.40158512,16.09432928,86.66533795,5.326101091,0,29.13847493,41.06905444,96.81295004,30.08555424,38.15133668,0.72631071,46.0096112,2.102944789,40.22785966,10.2148989,0,,7.086046443,8.978847982,11.73202355
1986,17.78914302,36.70600878,80.49848526,0.016939656,,42.06230781,2.752838403,12.05159617,4.468905182,7.862876321,21.22399618,21.65197299,48.96812778,8.85896895,90.86592058,5.642665269,11.14449111,3.387228528,33.25920866,14.26835635,17.92462827,7.388450227,31.60997751,12.55645387,57.73846687,6.661686392,9.799233665,1.375149608,86.1527639,10.96948733,19.59207907,43.80478091,1.228492963,8.00293437,34.41319888,43.54615788,3.038200642,1.078149691,10.19779592,,21.38130024,32.36444002,13.4518106,19.42656143,6.561510531,34.26367469,4.773510467,17.76831861,28.52782464,9.309829366,,3.606497139,44.13196855,6.424778331,11.82834882,3.027539671,12.16600019,21.90779362,37.74670841,14.95839127,61.46435934,14.88521884,23.61545349,8.351590798,7.897871394,0,3.809117216,6.278063902,29.35322858,3.637502184,87.95190191,14.99413889,17.7334934,33.69824191,25.74627756,5.386648329,16.61362526,0,10.462252,0.084743015,15.24133262,15.91875708,5.088264407,5.376691238,18.91296089,7.752869471,5.421007928,25.23358683,1.64459301,13.88753688,13.91957738,40.08218704,74.6332328,9.211210988,,6.240187416,16.94397995,13.9048842,13.42747763,8.369137846,48.46202844,24.42835304,7.022986525,59.2600901,32.01182736,,91.53356654,10.47064562,6.87433912,15.46326319,12.88207441,22.0513528,46.54268106,88.48437016,,9.014383775,10.41842691,1.353200543,5.806794284,27.45477901,37.78410047,5.692098344,3.933302085,1.439977985,0,7.464871789,5.05150975,30.16660004,2.513749603,6.710377193,,7.267557476,,12.24849185,22.14582089,4.383768795,2.279693896,0,6.383060823,22.37363414,1.224778707,2.850222879,6.677375291,21.79858787,47.64965359,18.35176333,1.411396618,35.69421919,90.76818957,14.89609086,0,4.529113457,21.48135511,4.429569696,14.66206897,8.629608963,75.14157061,4.281924312,0,94.03015168,50.75240211,66.49401421,28.48795033,5.833361935,,35.91014283,84.92644587,19.31839999,,3.128715429,28.29607763,38.83900963,,18.17046503,27.13193866,0.523667621,9.105411135,46.69980985,,18.8887914,5.244181032,10.27184896,5.063961402,,7.666736219,12.36515705,2.778926771,8.458838586,16.04718925,21.52253924,8.37734819,11.59685032,12.48754538,1.278669151,30.16124358,1.179468461,81.27239567,33.77441901,16.70138563,87.21950349,5.275525993,0,28.84175232,40.91464378,96.10539708,31.61149457,38.24302327,0.727886352,47.24543287,2.006444631,40.35544024,10.52633487,0,,7.716803285,9.708794495,11.92248803
1987,13.3227095,34.67582426,79.90632192,0.012806763,,33.71108755,2.801572981,12.43238032,3.844475571,9.624936167,23.90226227,20.94807494,49.91010825,8.646585706,90.67455191,5.98260239,10.5616998,3.301409973,30.33050729,13.43549817,17.27661552,7.425687255,30.68349444,10.4635357,57.81333947,5.324264152,8.738724857,2.26401831,80.24750086,11.01665914,19.48596579,44.76227217,1.76440925,7.941387209,30.06859302,43.88202531,3.009959971,1.013323303,9.873168696,,20.71169072,32.59132942,13.47009535,20.07984678,3.883479692,27.12845622,4.782950379,17.03128187,28.81108623,9.475502564,,3.486588612,43.17467661,7.194550189,12.02560081,2.676103399,8.423863836,15.73576427,38.60939007,14.62525358,61.49898868,15.10879816,23.38011414,8.371220015,8.340449276,0,3.092977969,6.250577122,29.35471912,3.641947518,83.14331793,15.08414419,17.26788592,32.75878771,25.21889767,5.313488549,17.90174666,0,10.50417769,0.078698545,14.85744903,15.55307901,5.011465519,4.992504041,19.37896426,7.659531389,5.681145691,24.93052012,1.688040985,15.29204948,9.625896804,41.83848619,73.91621355,9.263819506,,6.018046779,17.3456625,13.41146872,12.17903762,8.411660762,47.65157798,24.90071451,6.711664411,57.35518691,32.37438145,,90.86368872,10.39977416,6.007014601,15.21404847,12.79966758,19.76399931,46.84456611,87.56657717,,8.833661141,10.43573931,1.292147976,6.009770691,24.74356467,33.58018389,5.604387642,3.939566574,1.390257875,0,7.480010401,5.140401294,30.60675893,2.3983411,6.445902092,,7.209032284,,10.98195566,16.33159652,3.570914896,2.239709378,0,6.327239883,21.35020606,1.182764512,2.93417438,7.164284994,22.94538742,45.32771295,18.23484769,1.273889621,38.50004202,90.17132112,16.4932875,0,4.58327049,12.16460723,4.892395543,13.81258362,8.770265825,75.73039759,4.312573561,0,93.58800247,50.34585311,66.76422691,28.0795564,5.435763094,,35.95692819,83.55896017,18.47912915,,3.073477685,27.55908301,37.47621895,,17.90454367,27.07699093,0.518930074,8.817732735,46.15516397,,18.02330819,5.913947331,10.1076654,5.034776456,,6.358221294,12.20061289,2.412370397,8.898325755,16.60266564,51.70655111,8.320877792,9.477322099,13.46168652,1.332783883,29.55399039,1.234350657,80.75182889,32.28236544,17.20727068,87.49972912,5.097537182,0,31.66570436,40.46192786,95.64531685,30.75004509,38.90338662,0.690842043,47.99455876,1.922731466,39.23686469,10.67526631,0,,8.601049571,6.082670804,12.14470383
1988,14.09939669,33.77677989,79.68867479,0.009249246,,45.35508047,3.011023764,13.62018368,37.29771478,9.981871329,22.50139346,22.98127237,50.85743022,8.414028315,90.38929888,6.298625534,11.06283015,4.131605894,25.02433715,12.76432605,18.5572643,9.023837129,33.45396669,12.94893975,56.28060731,7.46239153,9.318912207,1.858877926,86.18076121,9.495443726,19.57360768,44.95504907,1.667242125,7.229222463,14.27195304,44.78512037,5.59173439,1.164834211,9.817985923,,21.85432967,33.81213203,13.45927841,20.24295664,7.361521454,34.83027597,4.844952187,18.34312455,33.84685052,9.744440603,,3.591044267,42.29179337,7.290464181,12.26167037,2.544980441,8.503897241,21.47777112,38.9331167,12.53987256,62.25279026,15.30495687,28.79812893,8.433210076,8.639146196,0,3.15124221,5.139190144,27.69084531,3.984305554,86.62300426,15.37970098,34.93281834,32.12047933,26.936855,11.61573535,18.32154332,0,10.17548715,0.072551004,15.17877391,16.91875534,5.09697218,5.490871195,19.84344795,8.083690086,5.982534815,24.80562656,1.926484146,16.47495276,20.89899988,41.38836129,75.13741523,8.426881543,,5.747402624,17.58378172,14.18954069,11.47567331,8.976232014,50.53361848,24.16709693,6.293083114,57.76586855,32.88283945,,91.6652961,12.13471128,7.265025825,21.60146257,11.90459262,20.13469675,50.24429219,88.04738156,,15.83570251,10.1275655,1.555278369,6.968382339,31.16297594,39.45087757,5.665850854,5.27649828,1.527316518,0,7.528337757,5.468165,29.51466074,2.301680172,18.59620615,,8.630305649,,11.47385977,22.76766347,4.263640505,2.431103758,0,6.290465961,19.28425868,1.653738018,3.022223594,7.059552164,22.78310939,47.7990442,17.82801158,1.138963717,39.50473206,90.99800005,17.05032676,0,4.555869024,35.08144667,5.847898783,13.24312192,8.748220114,75.2576519,4.253569536,0,93.58025257,50.73183851,68.10770859,28.15727559,5.467136719,,36.04421954,85.5017914,18.80179504,,6.075963344,27.90614096,37.88783531,,18.77345743,26.55047529,0.522424584,8.619811804,46.84996314,,16.04500144,5.198005648,10.35537914,5.088675483,,6.460256217,12.87142192,2.774674697,8.75573329,17.09306353,48.32304691,13.52066802,11.66631244,13.95362008,1.30655059,29.94091857,1.230320511,79.91490432,31.27835935,17.48678436,88.23433414,5.371499879,0,31.43198195,41.89458587,95.0669727,30.38052891,38.85964522,0.614740987,50.93948014,1.928124807,40.47012461,10.72497254,0,,17.70916505,10.71421117,13.07762947
1989,9.843729691,32.23991446,80.11608346,0.007762652,,41.74680575,3.145999264,13.90106265,40.65973223,10.70426777,22.83649094,21.94801305,50.78605733,8.751729335,90.50873954,6.428490365,10.634448,4.308618351,23.96364301,13.21130786,17.24232107,10.45287117,33.75788075,13.81156516,58.036002,7.004055758,9.505240491,1.960925748,93.53418599,9.337748198,19.26710055,45.32986517,1.549060818,7.408452504,23.0707981,36.70646784,5.516965907,0.969499096,9.108386911,,23.32844955,34.29667469,13.28686926,20.58073286,6.036733257,32.21974252,4.648328499,16.67235437,36.55256077,10.15533376,,3.402721008,39.29509944,7.546934621,12.80689398,2.436529147,7.869889652,22.30583102,39.24307313,12.32255614,62.32974267,15.03938376,32.25088356,8.175407347,8.425183547,0,3.443258986,5.971316381,27.30412313,3.793011706,88.54397032,15.7395303,34.97866935,32.23433043,25.47838666,10.95333376,18.87690242,0,9.995583937,0.07054126,15.8221437,15.619977,4.71194299,5.566270645,19.88368698,8.602249288,6.000411716,23.95591208,1.933382603,17.37377418,19.84634402,39.76929928,75.45680831,8.435538255,,5.751993343,18.00722858,14.3250658,10.99717273,11.10794746,51.44663195,23.85831814,5.965784184,59.18763142,30.37964415,,92.33076727,12.82272071,8.664404523,26.02040629,12.01328126,20.84458662,50.29307251,87.47479023,,21.35769381,10.1958352,1.595058649,7.233487653,30.66968532,47.30355346,5.541645772,5.109011526,1.493689652,0,7.413274523,5.563086568,28.7396565,2.209015057,27.13423568,,9.912448607,,10.49633243,20.17821994,6.066776793,2.364259429,0,6.384043782,22.25257128,2.166115786,3.319977082,6.187926654,22.90329366,48.34740966,18.25146787,1.006428771,42.81345374,90.55810227,16.60466992,0,4.592751639,32.6629728,5.615691868,12.80228346,8.691103133,72.98131072,7.090319399,0,93.57114533,49.46621735,68.20939092,29.80424491,5.44265767,,35.77451231,85.56045053,18.18533921,,5.605369855,26.95023386,38.16616154,,17.96373904,27.18819346,0.542418036,8.759041434,45.71483174,,17.07770406,5.717740142,9.805626155,5.022047662,,5.801857182,12.1563234,3.010562187,8.81914042,17.50972827,46.09297647,15.38044566,10.88781297,15.59115626,1.234374667,28.95174802,1.363464006,78.85958014,31.5643842,18.22560098,88.41169268,5.208661457,0,29.92722123,42.52043351,95.21819887,28.76543965,39.53388095,0.653335931,51.39718811,1.806444966,41.06644807,11.03679981,0,,18.46955862,9.045634737,12.58467784
